Yolanda Alejo Huerta,,,,,,
Nombre del Algoritmo,1_000,10_000,100_000,1_000_000,10_000_000
Burbuja,0.05805706977844238,3.2286250591278076,No,No,No
Inserción,0.033864736557006836,1.607574224472046,No,No,No,No
Selección,0.028397798538208008,1.3152215480804443,No,No,No
Gnome,0.08077049255371094,3.6884570121765137,No,No,No
Heap,0.0030951499938964844,0.036840200424194336,0.46573376655578613,2.1975088119506836,29.73934316635132
Quicksort,0.0010294914245605469,0.007800102233886719,0.057134389877319336,0.27562737464904785,2.5172276496887207
