Su nombre,Oscar Gutierrez Montelongo,,,,
Nombre del Algoritmo,1_000,10_000,100_000,1_000_000,10_000_000
Burbuja,0.16233110427856445 segundos,19.109493017196655 segundos,No,No,No
Inserción,0.05527138710021973 segundos,5.6507568359375 segundos,No,No,No
Selección,0.051418304443359375 segundos,5.122177600860596 segundos,No,No,No
Gnome,0.21633148193359375 segundos,21.966912984848022 segundos,No,No,No
Heap,0.0061495304107666016 segundos,0.08554553985595703 segundos,1.0889112949371338 segundos,13.631406545639038 segundos,160.15284085273743 segundos
Quicksort,0.003065824508666992 segundos,0.08809185028076172 segundos,13.64537239074707 segundos,,
